Time_min,Temp_In_C,Temp_Out_C
52.7833333333333,70.07,64.6
52.8,70.58,64.61
52.8166666666667,70.27,64.63
52.8333333333333,70.24,64.02
52.85,70.24,64.37
52.8666666666667,70.48,65.15
52.8833333333333,70.51,64.23
52.9,70.51,64.43
52.9166666666667,70.13,64
52.9333333333333,70.5,64.12
52.95,70.32,63.96
52.9666666666667,70.32,63.7
52.9833333333333,70.1,63.95
53,69.92,63.79
53.0166666666667,70.11,64.12
53.0333333333333,70.38,63.81
53.05,70.19,63.63
53.0666666666667,70.27,63.85
53.0833333333333,70.47,63.78
53.1,70.17,63.14
53.1166666666667,70.02,63.5
53.1333333333333,70.12,63.47
53.15,70.26,63.54
53.1666666666667,70.49,63.09
53.1833333333333,70.17,63.22
53.2,70.07,61.8
53.2166666666667,70.33,63.12
53.2333333333333,70.1,63.04
53.25,70.47,63.03
53.2666666666667,70.34,62.82
53.3,70.09,62.63
53.3166666666667,70.28,63.28
53.3333333333333,70.03,62.02
53.35,70.23,62.49
53.3666666666667,70.25,62.47
53.3833333333333,69.82,62.27
53.4,70.18,62.47
53.4166666666667,70.25,62.24
53.4333333333333,70.26,62.05
53.45,70.42,62.02
53.4666666666667,70.05,62.82
53.4833333333333,70.32,62.27
53.5,70.02,62.23
53.5166666666667,70.1,62.11
53.5333333333333,70.06,61.88
53.55,69.97,61.91
53.5666666666667,70.01,62.05
53.5833333333333,70.71,61.63
53.6,69.99,61.96
53.6166666666667,69.81,62
53.6333333333333,70.1,62.03
53.65,70.14,61.95
53.6666666666667,70.31,62.02
53.6833333333333,70.22,61.83
53.7,70.08,61.32
53.7166666666667,70.14,61.93
53.7333333333333,70.04,61.63
53.75,69.93,62.44
53.7666666666667,70.24,62.02
53.7833333333333,69.89,61.73
53.8,70.02,62.06
53.8166666666667,70.48,62.07
53.8333333333333,70.26,62.05
53.85,69.75,61.5
53.8666666666667,69.86,61.95
53.8833333333333,70.42,61.45
53.9,70.08,61.71
53.9166666666667,69.82,61.67
53.9333333333333,69.91,61.7
53.95,70.06,61.63
53.9666666666667,69.92,60.8
53.9833333333333,70.18,61.23
54,69.98,61.77
54.0166666666667,70.39,61.87
54.0333333333333,70.28,61.46
54.05,69.97,61.99
54.0666666666667,69.88,61.99
54.0833333333333,69.71,62.08
54.1,70.06,62.09
54.1166666666667,69.84,61.91
54.15,70.56,62.04
54.1666666666667,69.77,62.35
54.1833333333333,69.92,62.04
54.2,69.85,62.49
54.2166666666667,69.85,61.16
54.2333333333333,70.28,62.88
54.25,69.37,62.42
54.2666666666667,69.97,62.97
54.2833333333333,69.78,62.61
54.3,70.05,63.7
54.3166666666667,70.03,62.78
54.3333333333333,70.11,63.02
54.35,69.7,63.47
54.3666666666667,69.04,63.59
